timestamp,evento
0,Cambio di stato: da States.NULLO a States.TRATTATIVA
0,Consumatore con id 6 ha acquistato da 40
0,Consumatore con id 7 ha acquistato da 38
0,Consumatore con id 8 ha acquistato da 36
0,Consumatore con id 9 ha acquistato da 39
0,Consumatore con id 10 ha acquistato da 40
0,Consumatore con id 16 ha acquistato da 36
0,Consumatore con id 17 ha acquistato da 40
35,Consumatore con id 13 ha acquistato da 39
113,Consumatore con id 11 ha acquistato da 38
363,Consumatore con id 14 ha acquistato da 38
406,Consumatore con id 15 ha acquistato da 41
593,Consumatore con id 12 ha acquistato da 37
983,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
983,Importatore 25 ha importato
6867,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
8796,Importatore 19 ha importato
8796,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
12089,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
13500,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
13500,Importatore 21 ha importato
16474,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
17729,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
17729,Importatore 24 ha importato
20619,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
21625,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
21625,Importatore 22 ha importato
26291,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
27711,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
27711,Importatore 20 ha importato
30686,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
32458,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
32458,Importatore 21 ha importato
36732,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
37819,Importatore 24 ha importato
37819,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
39082,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
40250,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
40250,Importatore 19 ha importato
45762,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
46696,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
46696,Importatore 24 ha importato
53251,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
54254,Importatore 24 ha importato
54254,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
60078,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
60995,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
60995,Importatore 19 ha importato
63820,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
65005,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
65005,Importatore 21 ha importato
70636,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
71595,Importatore 22 ha importato
71595,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
74016,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
77359,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
77359,Importatore 21 ha importato
82134,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
83674,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
83674,Importatore 18 ha importato
84377,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
85380,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
85380,Importatore 22 ha importato
91792,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
93170,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
93170,Importatore 22 ha importato
98257,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
99317,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
99317,Importatore 22 ha importato
105025,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
107017,Importatore 22 ha importato
107017,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
109269,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
110194,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
110194,Importatore 25 ha importato
111677,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
112646,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
112646,Importatore 20 ha importato
116541,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
117540,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
117540,Importatore 26 ha importato
123698,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
125449,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
125449,Importatore 23 ha importato
130177,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
131426,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
131426,Importatore 26 ha importato
133323,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
134350,Importatore 18 ha importato
134350,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
139538,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
140491,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
140491,Importatore 23 ha importato
140840,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
141933,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
141933,Importatore 25 ha importato
147030,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
147996,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
147996,Importatore 18 ha importato
150402,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
151331,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
151331,Importatore 21 ha importato
153823,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
154723,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
154723,Importatore 18 ha importato
159469,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
160775,Importatore 20 ha importato
160775,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
166256,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
167378,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
167378,Importatore 20 ha importato
172985,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
174019,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
174019,Importatore 24 ha importato
176294,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
177339,Importatore 20 ha importato
177339,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
183185,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
184492,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
184492,Importatore 20 ha importato
186600,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
187771,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
187771,Importatore 24 ha importato
189491,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
190436,Importatore 25 ha importato
190436,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
194847,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
195990,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
195990,Importatore 26 ha importato
200419,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
202552,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
202552,Importatore 24 ha importato
207960,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
209170,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
209170,Importatore 22 ha importato
213040,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
213911,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
213911,Importatore 20 ha importato
220124,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
221457,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
221457,Importatore 24 ha importato
226765,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
227681,Importatore 18 ha importato
227681,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
233695,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
234638,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
234638,Importatore 20 ha importato
237392,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
238333,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
238333,Importatore 20 ha importato
242226,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
243474,Importatore 22 ha importato
243474,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
250072,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
251087,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
251087,Importatore 24 ha importato
257491,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
259171,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
259171,Importatore 18 ha importato
263838,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
264747,Importatore 21 ha importato
264747,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
271029,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
272386,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
272386,Importatore 22 ha importato
274883,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
275770,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
275770,Importatore 19 ha importato
280851,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
281802,Importatore 21 ha importato
281802,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
286264,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
287402,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
287402,Importatore 23 ha importato
293108,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
294439,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
294439,Importatore 23 ha importato
300623,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
302295,Importatore 26 ha importato
302295,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
304497,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
306473,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
306473,Importatore 22 ha importato
